ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Forma_de_Venda,Região
25534,2023-01-03,São Paulo,iPhone 14,5500.0,2,Cliente_22203,11000.0,Presencial,Sudeste
47139,2023-01-03,São Paulo,iPhone 14,5500.0,2,Cliente_27855,11000.0,Presencial,Sudeste
66235,2023-01-03,São Paulo,iPhone 14,5500.0,2,Cliente_8555,11000.0,Presencial,Sudeste
40493,2023-01-04,São Paulo,Cabo HDMI,40.0,1,Cliente_5859,40.0,Presencial,Sudeste
84197,2023-01-04,São Paulo,Mouse Gamer,120.0,1,Cliente_26719,120.0,Presencial,Sudeste
30405,2023-01-04,São Paulo,Mouse Gamer,120.0,2,Cliente_4170,240.0,Presencial,Sudeste
52204,2023-01-04,São Paulo,Teclado Mecânico,250.0,1,Cliente_16720,250.0,Presencial,Sudeste
76830,2023-01-04,São Paulo,Teclado Mecânico,250.0,1,Cliente_20092,250.0,Presencial,Sudeste
85601,2023-01-04,São Paulo,Teclado Mecânico,250.0,1,Cliente_3844,250.0,Presencial,Sudeste
29799,2023-01-04,São Paulo,Teclado Mecânico,250.0,2,Cliente_11959,500.0,Presencial,Sudeste
45765,2023-01-04,São Paulo,Smartphone Samsung,2200.0,1,Cliente_11745,2200.0,Presencial,Sudeste
46973,2023-01-04,São Paulo,Smartphone Samsung,2200.0,1,Cliente_21974,2200.0,Presencial,Sudeste
33912,2023-01-04,São Paulo,Notebook HP,3200.0,1,Cliente_22244,3200.0,Presencial,Sudeste
39504,2023-01-04,São Paulo,Notebook HP,3200.0,1,Cliente_18606,3200.0,Presencial,Sudeste
63582,2023-01-04,São Paulo,iPhone 14,5500.0,1,Cliente_14063,5500.0,Presencial,Sudeste
83602,2023-01-04,São Paulo,iPhone 14,5500.0,1,Cliente_20348,5500.0,Presencial,Sudeste
22643,2023-01-04,São Paulo,Notebook HP,3200.0,3,Cliente_2168,9600.0,Presencial,Sudeste
72497,2023-01-04,São Paulo,Notebook Dell,3500.0,3,Cliente_4669,10500.0,Presencial,Sudeste
72873,2023-01-04,São Paulo,iPhone 14,5500.0,2,Cliente_26372,11000.0,Presencial,Sudeste
10489,2023-01-04,São Paulo,iPhone 14,5500.0,5,Cliente_11823,27500.0,Presencial,Sudeste
40510,2023-01-05,São Paulo,Cabo HDMI,40.0,1,Cliente_17948,40.0,Presencial,Sudeste
71437,2023-01-05,São Paulo,Mouse Gamer,120.0,1,Cliente_6624,120.0,Presencial,Sudeste
79452,2023-01-05,São Paulo,Mouse Gamer,120.0,1,Cliente_16565,120.0,Presencial,Sudeste
26509,2023-01-05,São Paulo,Teclado Mecânico,250.0,1,Cliente_7350,250.0,Presencial,Sudeste
42826,2023-01-05,São Paulo,Teclado Mecânico,250.0,1,Cliente_5972,250.0,Presencial,Sudeste
44116,2023-01-05,São Paulo,Teclado Mecânico,250.0,1,Cliente_2804,250.0,Presencial,Sudeste
60241,2023-01-05,São Paulo,Teclado Mecânico,250.0,1,Cliente_10104,250.0,Presencial,Sudeste
72929,2023-01-05,São Paulo,Teclado Mecânico,250.0,1,Cliente_25296,250.0,Presencial,Sudeste
45739,2023-01-05,São Paulo,Smartphone Samsung,2200.0,1,Cliente_8580,2200.0,Presencial,Sudeste
4897,2023-01-05,São Paulo,Notebook Dell,3500.0,1,Cliente_1093,3500.0,Presencial,Sudeste
67536,2023-01-05,São Paulo,Notebook Dell,3500.0,1,Cliente_4290,3500.0,Presencial,Sudeste
30537,2023-01-05,São Paulo,iPhone 14,5500.0,1,Cliente_34,5500.0,Presencial,Sudeste
69994,2023-01-05,São Paulo,iPhone 14,5500.0,1,Cliente_4158,5500.0,Presencial,Sudeste
89176,2023-01-05,São Paulo,iPhone 14,5500.0,1,Cliente_28368,5500.0,Presencial,Sudeste
84222,2023-01-05,São Paulo,Notebook HP,3200.0,2,Cliente_1014,6400.0,Presencial,Sudeste
19797,2023-01-05,São Paulo,iPhone 14,5500.0,2,Cliente_19552,11000.0,Presencial,Sudeste
76883,2023-01-06,São Paulo,Cabo HDMI,40.0,1,Cliente_17593,40.0,Presencial,Sudeste
23377,2023-01-06,São Paulo,Mouse Gamer,120.0,1,Cliente_19390,120.0,Presencial,Sudeste
98075,2023-01-06,São Paulo,Mouse Gamer,120.0,1,Cliente_8067,120.0,Presencial,Sudeste
85323,2023-01-06,São Paulo,Teclado Mecânico,250.0,1,Cliente_13249,250.0,Presencial,Sudeste
10115,2023-01-06,São Paulo,"Monitor 27""",1200.0,1,Cliente_2379,1200.0,Presencial,Sudeste
4845,2023-01-06,São Paulo,Smartphone Samsung,2200.0,1,Cliente_20396,2200.0,Presencial,Sudeste
10466,2023-01-06,São Paulo,Smartphone Samsung,2200.0,1,Cliente_7407,2200.0,Presencial,Sudeste
86306,2023-01-06,São Paulo,Notebook HP,3200.0,1,Cliente_18461,3200.0,Presencial,Sudeste
98979,2023-01-06,São Paulo,Notebook Dell,3500.0,1,Cliente_14517,3500.0,Presencial,Sudeste
67743,2023-01-06,São Paulo,Smartphone Samsung,2200.0,2,Cliente_13026,4400.0,Presencial,Sudeste
48399,2023-01-06,São Paulo,iPhone 14,5500.0,1,Cliente_20940,5500.0,Presencial,Sudeste
70009,2023-01-06,São Paulo,iPhone 14,5500.0,1,Cliente_2471,5500.0,Presencial,Sudeste
98406,2023-01-06,São Paulo,iPhone 14,5500.0,1,Cliente_8065,5500.0,Presencial,Sudeste
41982,2023-01-06,São Paulo,Notebook HP,3200.0,2,Cliente_9323,6400.0,Presencial,Sudeste
21074,2023-01-06,São Paulo,Notebook Dell,3500.0,2,Cliente_7667,7000.0,Presencial,Sudeste
42092,2023-01-07,São Paulo,Cabo HDMI,40.0,1,Cliente_2840,40.0,Presencial,Sudeste
19183,2023-01-07,São Paulo,Cabo HDMI,40.0,2,Cliente_28489,80.0,Presencial,Sudeste
29426,2023-01-07,São Paulo,Cabo HDMI,40.0,2,Cliente_26138,80.0,Presencial,Sudeste
19292,2023-01-07,São Paulo,Mouse Gamer,120.0,1,Cliente_5129,120.0,Presencial,Sudeste
87086,2023-01-07,São Paulo,Mouse Gamer,120.0,1,Cliente_20131,120.0,Presencial,Sudeste
7942,2023-01-07,São Paulo,Teclado Mecânico,250.0,1,Cliente_9146,250.0,Presencial,Sudeste
9354,2023-01-07,São Paulo,Mouse Gamer,120.0,5,Cliente_19473,600.0,Presencial,Sudeste
43682,2023-01-07,São Paulo,"Monitor 27""",1200.0,1,Cliente_27477,1200.0,Presencial,Sudeste
87900,2023-01-07,São Paulo,"Monitor 27""",1200.0,1,Cliente_20491,1200.0,Presencial,Sudeste
36992,2023-01-07,São Paulo,"Monitor 27""",1200.0,2,Cliente_2744,2400.0,Presencial,Sudeste
21171,2023-01-07,São Paulo,Notebook HP,3200.0,1,Cliente_29946,3200.0,Presencial,Sudeste
63861,2023-01-07,São Paulo,Notebook HP,3200.0,1,Cliente_1223,3200.0,Presencial,Sudeste
70196,2023-01-07,São Paulo,Notebook HP,3200.0,1,Cliente_20631,3200.0,Presencial,Sudeste
94598,2023-01-07,São Paulo,Notebook HP,3200.0,1,Cliente_13750,3200.0,Presencial,Sudeste
98872,2023-01-07,São Paulo,Notebook HP,3200.0,1,Cliente_15746,3200.0,Presencial,Sudeste
28924,2023-01-07,São Paulo,Notebook Dell,3500.0,1,Cliente_25954,3500.0,Presencial,Sudeste
63899,2023-01-07,São Paulo,iPhone 14,5500.0,1,Cliente_12659,5500.0,Presencial,Sudeste
32146,2023-01-08,São Paulo,Cabo HDMI,40.0,1,Cliente_28721,40.0,Presencial,Sudeste
51719,2023-01-08,São Paulo,Cabo HDMI,40.0,1,Cliente_21211,40.0,Presencial,Sudeste
60421,2023-01-08,São Paulo,Cabo HDMI,40.0,1,Cliente_15936,40.0,Presencial,Sudeste
13204,2023-01-08,São Paulo,Mouse Gamer,120.0,1,Cliente_9596,120.0,Presencial,Sudeste
52867,2023-01-08,São Paulo,Teclado Mecânico,250.0,1,Cliente_24640,250.0,Presencial,Sudeste
30152,2023-01-08,São Paulo,Mouse Gamer,120.0,3,Cliente_15133,360.0,Presencial,Sudeste
30678,2023-01-08,São Paulo,"Monitor 27""",1200.0,1,Cliente_470,1200.0,Presencial,Sudeste
48038,2023-01-08,São Paulo,Smartphone Samsung,2200.0,1,Cliente_5306,2200.0,Presencial,Sudeste
28889,2023-01-08,São Paulo,"Monitor 27""",1200.0,2,Cliente_12163,2400.0,Presencial,Sudeste
16439,2023-01-08,São Paulo,Notebook HP,3200.0,1,Cliente_9409,3200.0,Presencial,Sudeste
67853,2023-01-08,São Paulo,Notebook Dell,3500.0,1,Cliente_16414,3500.0,Presencial,Sudeste
5957,2023-01-08,São Paulo,Notebook HP,3200.0,2,Cliente_10285,6400.0,Presencial,Sudeste
75113,2023-01-08,São Paulo,Notebook Dell,3500.0,3,Cliente_3902,10500.0,Presencial,Sudeste
36757,2023-01-09,São Paulo,Mouse Gamer,120.0,1,Cliente_28902,120.0,Presencial,Sudeste
47226,2023-01-09,São Paulo,Mouse Gamer,120.0,2,Cliente_26578,240.0,Presencial,Sudeste
11057,2023-01-09,São Paulo,Teclado Mecânico,250.0,1,Cliente_28529,250.0,Presencial,Sudeste
14531,2023-01-09,São Paulo,Teclado Mecânico,250.0,1,Cliente_17988,250.0,Presencial,Sudeste
17608,2023-01-09,São Paulo,Teclado Mecânico,250.0,1,Cliente_17183,250.0,Presencial,Sudeste
74405,2023-01-09,São Paulo,"Monitor 27""",1200.0,1,Cliente_29482,1200.0,Presencial,Sudeste
76562,2023-01-09,São Paulo,"Monitor 27""",1200.0,1,Cliente_3030,1200.0,Presencial,Sudeste
33084,2023-01-09,São Paulo,Notebook HP,3200.0,1,Cliente_24586,3200.0,Presencial,Sudeste
15354,2023-01-09,São Paulo,Notebook Dell,3500.0,1,Cliente_26918,3500.0,Presencial,Sudeste
39609,2023-01-09,São Paulo,Notebook Dell,3500.0,1,Cliente_17509,3500.0,Presencial,Sudeste
44741,2023-01-09,São Paulo,Notebook Dell,3500.0,1,Cliente_5990,3500.0,Presencial,Sudeste
53014,2023-01-09,São Paulo,Notebook Dell,3500.0,1,Cliente_714,3500.0,Presencial,Sudeste
95155,2023-01-09,São Paulo,Notebook Dell,3500.0,1,Cliente_942,3500.0,Presencial,Sudeste
27104,2023-01-09,São Paulo,iPhone 14,5500.0,1,Cliente_4996,5500.0,Presencial,Sudeste
4906,2023-01-09,São Paulo,iPhone 14,5500.0,5,Cliente_10000,27500.0,Presencial,Sudeste
92056,2023-01-10,São Paulo,Cabo HDMI,40.0,2,Cliente_5799,80.0,Presencial,Sudeste
11389,2023-01-10,São Paulo,Mouse Gamer,120.0,1,Cliente_2761,120.0,Presencial,Sudeste
32584,2023-01-10,São Paulo,Mouse Gamer,120.0,1,Cliente_21003,120.0,Presencial,Sudeste
96558,2023-01-10,São Paulo,Mouse Gamer,120.0,1,Cliente_6171,120.0,Presencial,Sudeste
16469,2023-01-10,São Paulo,Teclado Mecânico,250.0,1,Cliente_1052,250.0,Presencial,Sudeste
18441,2023-01-10,São Paulo,Teclado Mecânico,250.0,1,Cliente_19531,250.0,Presencial,Sudeste
22259,2023-01-10,São Paulo,Teclado Mecânico,250.0,1,Cliente_1534,250.0,Presencial,Sudeste
92446,2023-01-10,São Paulo,Teclado Mecânico,250.0,1,Cliente_16094,250.0,Presencial,Sudeste
58459,2023-01-10,São Paulo,Teclado Mecânico,250.0,2,Cliente_26309,500.0,Presencial,Sudeste
27123,2023-01-10,São Paulo,"Monitor 27""",1200.0,1,Cliente_13821,1200.0,Presencial,Sudeste
42630,2023-01-10,São Paulo,"Monitor 27""",1200.0,1,Cliente_8312,1200.0,Presencial,Sudeste
52054,2023-01-10,São Paulo,Smartphone Samsung,2200.0,1,Cliente_8695,2200.0,Presencial,Sudeste
2051,2023-01-10,São Paulo,Notebook HP,3200.0,1,Cliente_785,3200.0,Presencial,Sudeste
80298,2023-01-10,São Paulo,iPhone 14,5500.0,1,Cliente_19248,5500.0,Presencial,Sudeste
50245,2023-01-10,São Paulo,Notebook Dell,3500.0,2,Cliente_26189,7000.0,Presencial,Sudeste
74549,2023-01-10,São Paulo,Notebook Dell,3500.0,3,Cliente_8110,10500.0,Presencial,Sudeste
95573,2023-01-10,São Paulo,iPhone 14,5500.0,2,Cliente_1957,11000.0,Presencial,Sudeste
91035,2023-01-10,São Paulo,"Monitor 27""",1200.0,10,Cliente_13187,12000.0,Presencial,Sudeste
36417,2023-01-10,São Paulo,iPhone 14,5500.0,5,Cliente_2114,27500.0,Presencial,Sudeste
58722,2023-01-11,São Paulo,Cabo HDMI,40.0,1,Cliente_26889,40.0,Presencial,Sudeste
99232,2023-01-11,São Paulo,Cabo HDMI,40.0,1,Cliente_13116,40.0,Presencial,Sudeste
84434,2023-01-11,São Paulo,Cabo HDMI,40.0,2,Cliente_6160,80.0,Presencial,Sudeste
92112,2023-01-11,São Paulo,Mouse Gamer,120.0,1,Cliente_17810,120.0,Presencial,Sudeste
73263,2023-01-11,São Paulo,Teclado Mecânico,250.0,2,Cliente_11438,500.0,Presencial,Sudeste
5738,2023-01-11,São Paulo,"Monitor 27""",1200.0,1,Cliente_25676,1200.0,Presencial,Sudeste
66173,2023-01-11,São Paulo,"Monitor 27""",1200.0,1,Cliente_17147,1200.0,Presencial,Sudeste
81946,2023-01-11,São Paulo,"Monitor 27""",1200.0,1,Cliente_4624,1200.0,Presencial,Sudeste
86285,2023-01-11,São Paulo,"Monitor 27""",1200.0,1,Cliente_2492,1200.0,Presencial,Sudeste
86646,2023-01-11,São Paulo,"Monitor 27""",1200.0,1,Cliente_1142,1200.0,Presencial,Sudeste
87147,2023-01-11,São Paulo,"Monitor 27""",1200.0,1,Cliente_5415,1200.0,Presencial,Sudeste
222,2023-01-11,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9968,2200.0,Presencial,Sudeste
20443,2023-01-11,São Paulo,Smartphone Samsung,2200.0,1,Cliente_28382,2200.0,Presencial,Sudeste
24176,2023-01-11,São Paulo,"Monitor 27""",1200.0,2,Cliente_10635,2400.0,Presencial,Sudeste
35994,2023-01-11,São Paulo,"Monitor 27""",1200.0,2,Cliente_5139,2400.0,Presencial,Sudeste
43211,2023-01-11,São Paulo,Notebook HP,3200.0,1,Cliente_4647,3200.0,Presencial,Sudeste
46463,2023-01-11,São Paulo,Notebook HP,3200.0,1,Cliente_18717,3200.0,Presencial,Sudeste
75206,2023-01-11,São Paulo,Notebook Dell,3500.0,1,Cliente_8560,3500.0,Presencial,Sudeste
66246,2023-01-11,São Paulo,Notebook HP,3200.0,2,Cliente_9996,6400.0,Presencial,Sudeste
95905,2023-01-11,São Paulo,Notebook HP,3200.0,2,Cliente_2196,6400.0,Presencial,Sudeste
99026,2023-01-11,São Paulo,iPhone 14,5500.0,2,Cliente_18306,11000.0,Presencial,Sudeste
84877,2023-01-11,São Paulo,Notebook HP,3200.0,10,Cliente_3643,32000.0,Presencial,Sudeste
17141,2023-01-12,São Paulo,Cabo HDMI,40.0,1,Cliente_2152,40.0,Presencial,Sudeste
18568,2023-01-12,São Paulo,Cabo HDMI,40.0,1,Cliente_24864,40.0,Presencial,Sudeste
81102,2023-01-12,São Paulo,Mouse Gamer,120.0,1,Cliente_1008,120.0,Presencial,Sudeste
20599,2023-01-12,São Paulo,Mouse Gamer,120.0,2,Cliente_20663,240.0,Presencial,Sudeste
76280,2023-01-12,São Paulo,Teclado Mecânico,250.0,1,Cliente_16051,250.0,Presencial,Sudeste
6815,2023-01-12,São Paulo,"Monitor 27""",1200.0,1,Cliente_13480,1200.0,Presencial,Sudeste
16265,2023-01-12,São Paulo,"Monitor 27""",1200.0,1,Cliente_7066,1200.0,Presencial,Sudeste
97690,2023-01-12,São Paulo,"Monitor 27""",1200.0,1,Cliente_7645,1200.0,Presencial,Sudeste
3439,2023-01-12,São Paulo,Smartphone Samsung,2200.0,1,Cliente_6188,2200.0,Presencial,Sudeste
7590,2023-01-12,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9407,2200.0,Presencial,Sudeste
22222,2023-01-12,São Paulo,Smartphone Samsung,2200.0,1,Cliente_28231,2200.0,Presencial,Sudeste
50031,2023-01-12,São Paulo,Smartphone Samsung,2200.0,1,Cliente_23490,2200.0,Presencial,Sudeste
30068,2023-01-12,São Paulo,Notebook HP,3200.0,1,Cliente_10410,3200.0,Presencial,Sudeste
55168,2023-01-12,São Paulo,Notebook HP,3200.0,1,Cliente_4387,3200.0,Presencial,Sudeste
57711,2023-01-12,São Paulo,Notebook HP,3200.0,1,Cliente_27603,3200.0,Presencial,Sudeste
9377,2023-01-12,São Paulo,Notebook Dell,3500.0,1,Cliente_10795,3500.0,Presencial,Sudeste
98134,2023-01-12,São Paulo,Notebook Dell,3500.0,1,Cliente_26042,3500.0,Presencial,Sudeste
66562,2023-01-12,São Paulo,iPhone 14,5500.0,1,Cliente_5900,5500.0,Presencial,Sudeste
57668,2023-01-12,São Paulo,Smartphone Samsung,2200.0,3,Cliente_6949,6600.0,Presencial,Sudeste
66462,2023-01-12,São Paulo,Notebook HP,3200.0,3,Cliente_26833,9600.0,Presencial,Sudeste
1188,2023-01-12,São Paulo,Notebook Dell,3500.0,3,Cliente_22322,10500.0,Presencial,Sudeste
5760,2023-01-13,São Paulo,Cabo HDMI,40.0,1,Cliente_13975,40.0,Presencial,Sudeste
29567,2023-01-13,São Paulo,Cabo HDMI,40.0,1,Cliente_18935,40.0,Presencial,Sudeste
26913,2023-01-13,São Paulo,Mouse Gamer,120.0,1,Cliente_10514,120.0,Presencial,Sudeste
82803,2023-01-13,São Paulo,Teclado Mecânico,250.0,1,Cliente_27931,250.0,Presencial,Sudeste
6738,2023-01-13,São Paulo,"Monitor 27""",1200.0,1,Cliente_13390,1200.0,Presencial,Sudeste
51905,2023-01-13,São Paulo,Smartphone Samsung,2200.0,1,Cliente_25606,2200.0,Presencial,Sudeste
25473,2023-01-13,São Paulo,Notebook HP,3200.0,1,Cliente_5254,3200.0,Presencial,Sudeste
95117,2023-01-13,São Paulo,Notebook Dell,3500.0,1,Cliente_7447,3500.0,Presencial,Sudeste
42505,2023-01-13,São Paulo,"Monitor 27""",1200.0,3,Cliente_23392,3600.0,Presencial,Sudeste
38022,2023-01-13,São Paulo,iPhone 14,5500.0,1,Cliente_19391,5500.0,Presencial,Sudeste
42113,2023-01-13,São Paulo,iPhone 14,5500.0,1,Cliente_24938,5500.0,Presencial,Sudeste
45074,2023-01-13,São Paulo,iPhone 14,5500.0,1,Cliente_23137,5500.0,Presencial,Sudeste
52683,2023-01-13,São Paulo,iPhone 14,5500.0,1,Cliente_25335,5500.0,Presencial,Sudeste
98756,2023-01-13,São Paulo,iPhone 14,5500.0,1,Cliente_24179,5500.0,Presencial,Sudeste
66553,2023-01-13,São Paulo,Smartphone Samsung,2200.0,3,Cliente_7153,6600.0,Presencial,Sudeste
81159,2023-01-13,São Paulo,Notebook HP,3200.0,5,Cliente_16978,16000.0,Presencial,Sudeste
65999,2023-01-13,São Paulo,iPhone 14,5500.0,5,Cliente_28989,27500.0,Presencial,Sudeste
15629,2023-01-14,São Paulo,Cabo HDMI,40.0,1,Cliente_25860,40.0,Presencial,Sudeste
23785,2023-01-14,São Paulo,Cabo HDMI,40.0,1,Cliente_12885,40.0,Presencial,Sudeste
81848,2023-01-14,São Paulo,Cabo HDMI,40.0,1,Cliente_1325,40.0,Presencial,Sudeste
94095,2023-01-14,São Paulo,Cabo HDMI,40.0,1,Cliente_9656,40.0,Presencial,Sudeste
95218,2023-01-14,São Paulo,"Monitor 27""",1200.0,1,Cliente_5621,1200.0,Presencial,Sudeste
29381,2023-01-14,São Paulo,Smartphone Samsung,2200.0,1,Cliente_10938,2200.0,Presencial,Sudeste
55559,2023-01-14,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9886,2200.0,Presencial,Sudeste
94488,2023-01-14,São Paulo,Notebook Dell,3500.0,1,Cliente_8982,3500.0,Presencial,Sudeste
13368,2023-01-14,São Paulo,"Monitor 27""",1200.0,3,Cliente_1467,3600.0,Presencial,Sudeste
8493,2023-01-15,São Paulo,Mouse Gamer,120.0,1,Cliente_25010,120.0,Presencial,Sudeste
73906,2023-01-15,São Paulo,Mouse Gamer,120.0,1,Cliente_14505,120.0,Presencial,Sudeste
5801,2023-01-15,São Paulo,Teclado Mecânico,250.0,1,Cliente_20375,250.0,Presencial,Sudeste
70699,2023-01-15,São Paulo,Teclado Mecânico,250.0,1,Cliente_12772,250.0,Presencial,Sudeste
25952,2023-01-15,São Paulo,Teclado Mecânico,250.0,2,Cliente_25291,500.0,Presencial,Sudeste
36569,2023-01-15,São Paulo,Teclado Mecânico,250.0,2,Cliente_3506,500.0,Presencial,Sudeste
46334,2023-01-15,São Paulo,"Monitor 27""",1200.0,1,Cliente_9573,1200.0,Presencial,Sudeste
57829,2023-01-15,São Paulo,"Monitor 27""",1200.0,1,Cliente_10986,1200.0,Presencial,Sudeste
33174,2023-01-15,São Paulo,Smartphone Samsung,2200.0,1,Cliente_2113,2200.0,Presencial,Sudeste
98806,2023-01-15,São Paulo,Smartphone Samsung,2200.0,1,Cliente_19863,2200.0,Presencial,Sudeste
82574,2023-01-15,São Paulo,"Monitor 27""",1200.0,2,Cliente_24068,2400.0,Presencial,Sudeste
10855,2023-01-15,São Paulo,iPhone 14,5500.0,1,Cliente_12699,5500.0,Presencial,Sudeste
22819,2023-01-15,São Paulo,iPhone 14,5500.0,1,Cliente_4450,5500.0,Presencial,Sudeste
32460,2023-01-15,São Paulo,iPhone 14,5500.0,1,Cliente_12869,5500.0,Presencial,Sudeste
